"_5_digit_ntd_id","agency","max_reporter_type","max_organization_type","max_city","max_state","report_year","max_agency_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","Seattle","WA","2023","2270","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","54845896","48157811","8065829","34913022","4577437","4110201","526352","2325","0","0","183850","177754","6096","38533","36982","1551","78886848","748383","0","301530502","372.83"
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Spokane","WA","2023","300","83764","Spokane, WA","171.67","447279","248","471169","11110265","10156786","953479","6835497","716436","671708","44728",,,"0","0","0",,"0","0",,"9403739","360918",,"46318134","0"
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Lakewood","WA","2023","430","80389","Seattle--Tacoma, WA","982.52","3544011","292","575963","10801967","9888209","913758","4302315","703286","643812","59474","0","0","0","0","0",,"0","0",,"6792245","229755","0","40362320","11.06"
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","Nespelem","WA","2023","5","00053","Washington Non-UZA","0","1895776",,,"0","84896","0","0","0","7186","0",,,"0","0","0",,"0","0",,"133718",,,"0","0"
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Everett","WA","2023","50","80389","Seattle--Tacoma, WA","982.52","3544011","34","110629","1771909","1562379","209530","1196699","142731","132749","9982","0","0","0","0","0",,"0","0",,"1404970","65299",,"5193721","0"
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Yakima","WA","2023","42","97507","Yakima, WA","55.77","133145","33","100716","1234711","1191241","43470","906225","97021","93758","3263","0","0","0","0","0",,"0","0",,"646711","46137","0","3435365","0"
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","Eugene","OR","2023","132","28117","Eugene, OR","73.49","270179","482","317600","3949519","5669295","323309","2948872","306431","366047","23371",,,"0","0","0",,"0","0",,"6311613","80851","233468","22779952","28.02"
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","Portland","OR","2023","717","71317","Portland, OR--WA","519.3","2104238","378","1526171","35194178","32132721","3633273","27845620","2812164","2670842","166348","0","0","0","4101663","4076153","25510","295505","291991","3514","57442650","535727","0","231430380","156.22"
"00009","Kalispel Tribe of Indians","Reduced Reporter","Tribe","Cusick","WA","2023","0","00053","Washington Non-UZA","0","1895776",,,"0","0","0","0","0","0","0",,,"0","0","0",,"0","0",,"0",,,"0","0"
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","Chiloquin","OR","2023","7","00041","Oregon Non-UZA","0","1553447","0","0","0","165072","0","0","0","6893","0",,,"0","0","0",,"0","0",,"10969",,"0","0","0"
"00011","Valley Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Meridian","ID","2023","77","08785","Boise City, ID","139.23","433180","66","763140","2316061","2009878","306183","1380496","148717","128339","20378","0","0","0","0","0",,"0","0",,"1096198","34492","0","4478664","0"
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","Anchorage","AK","2023","181","02305","Anchorage, AK","91.69","249252","77","291247","5299972","5020190","279782","2287510","323305","297614","25691",,,"0","0","0",,"0","0",,"3117877","60574",,"20591368","0"
"00014","Sitka Tribe of Alaska","Reduced Reporter","Tribe","Sitka","AK","2023","3","00002","Alaska Non-UZA","0","359299","0","0","0","102199","0","0","0","7224","0",,,"0","0","0",,"0","0",,"56698",,,"0","0"
"00015","Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Reduced Reporter","Tribe","Snoqualmie","WA","2023","2","00053","Washington Non-UZA","0","1895776",,,"0","14919","0","0","0","754","0",,,"0","0","0",,"0","0",,"332",,"113","0","0"
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Longview","WA","2023","21","51283","Longview, WA--OR","35.19","69841","31","61598","518430","492848","25582","359852","45689","43057","2632","0","0","0","0","0",,"0","0",,"274804","32057","0","1040117","0"
"00017","Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Reduced Reporter","Tribe","Arlington","WA","2023","5","00053","Washington Non-UZA","0","1895776",,,"0","33227","0","0","0","972","0",,,"0","0","0",,"0","0",,"4459",,"1579","0","0"
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Richland","WA","2023","273","44479","Kennewick--Richland--Pasco, WA","112.21","255401","616","307750","8768540","8196869","571671","3801073","451005","421274","29731",,,"0","0","0",,"0","0",,"3178377","245428","0","24325382","0"
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Olympia","WA","2023","230","65242","Olympia--Lacey, WA","106.21","208157","101","200200","6764016","6569994","194022","3200540","390761","370060","20701","0","0","0","0","0",,"0","0",,"3898995","137045","0","24528110","0"
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Bremerton","WA","2023","222","09946","Bremerton, WA","146.91","224449","396","254183","4886169","4388658","553112","2529467","263274","234728","31586","0",,"0","0","0",,"0","0",,"2739131","212119","0","24094434","98.94"
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Bellingham","WA","2023","99","06652","Bellingham, WA","50.13","128979","776","235629","3444111","3155801","288310","2121744","238179","221219","16960","0","0","0","0","0",,"0","0",,"3724696","171925","0","11921726","0"
